7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,16,16,7,7,7,7,7,7,7,7,16,16,16,16,16,16,16,16,16,16,16,16,16,7,7,7,16,7,7,7,7,7,7,7,7
7,16,16,16,16,7,16,16,16,16,2,16,16,16,16,16,16,16,16,16,16,16,7,7,7,7,7,7,16,16,7,16,16,16,7,7
7,16,16,16,16,7,16,16,16,16,2,16,16,16,16,16,10,16,16,16,16,16,16,16,16,2,16,16,16,16,7,16,16,16,7,7
7,16,16,16,16,7,16,2,2,2,2,16,16,16,7,7,7,7,7,16,16,16,16,16,16,2,16,16,16,16,7,16,16,16,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,16,16,16,7,7
7,16,16,16,16,7,10,5,5,5,7,5,15,5,5,8,5,5,5,5,14,2,2,2,2,2,14,2,2,2,7,2,16,16,7,7
7,16,16,16,16,7,15,12,5,5,7,5,5,5,5,5,5,5,5,5,7,7,7,5,5,5,5,5,5,12,7,16,16,16,7,7
7,16,16,2,2,7,5,5,5,5,7,5,14,5,5,5,15,5,5,5,5,15,5,5,5,5,5,9,5,5,7,16,16,16,7,7
7,16,16,16,16,7,5,5,5,5,7,5,5,5,12,5,5,5,5,5,5,5,5,5,14,5,5,5,10,5,7,16,16,16,7,7
7,16,16,16,16,7,5,14,5,5,7,5,5,5,5,5,5,12,12,12,12,12,5,5,5,5,5,15,5,5,7,16,16,16,7,7
7,16,16,16,16,7,5,5,9,5,7,15,5,5,5,12,12,12,7,7,7,12,10,5,5,5,5,5,5,5,7,16,16,16,7,7
7,16,16,16,16,7,5,5,5,5,7,5,5,9,5,12,7,7,7,5,7,12,5,5,9,5,5,5,5,5,7,7,7,7,7,7
7,16,16,16,16,7,5,5,5,5,5,5,5,5,5,12,7,10,5,5,7,12,5,5,5,5,5,5,10,5,7,16,16,16,16,7
7,16,16,16,16,7,9,5,5,5,5,5,5,15,5,12,7,5,8,11,7,12,9,5,5,5,15,5,5,5,7,16,16,16,16,7
7,16,16,16,16,7,5,5,5,15,5,5,5,5,5,5,5,5,6,5,7,7,12,5,5,5,5,5,5,5,7,16,16,16,16,7
7,16,16,16,16,7,5,5,5,5,5,5,9,5,5,5,5,15,15,15,15,10,5,5,5,5,5,5,5,9,7,16,16,16,16,7
7,16,16,16,16,7,2,14,5,5,5,5,5,5,5,14,5,5,5,10,5,5,5,5,10,5,14,5,5,5,7,16,16,16,16,7
7,2,2,2,2,7,2,5,5,15,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,7,16,16,16,16,7
7,16,16,16,16,7,5,5,5,5,5,5,5,5,10,5,7,7,7,7,7,7,5,5,5,5,5,9,5,5,7,16,16,16,16,7
7,16,16,16,16,7,5,5,5,5,7,5,5,5,15,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,7,16,16,16,16,7
7,16,16,16,16,7,5,15,5,5,7,5,5,5,5,5,5,5,7,5,5,5,5,10,5,5,5,5,5,5,7,16,16,16,16,7
7,16,16,16,16,7,5,12,5,9,7,5,5,5,5,9,5,5,7,5,5,5,5,5,5,5,5,10,5,5,7,16,16,16,16,7
7,16,16,16,16,7,10,5,5,5,7,14,5,5,5,5,5,5,7,5,14,5,5,5,5,5,5,5,12,5,7,16,16,16,16,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,16,16,16,16,7,16,16,16,16,2,16,16,16,16,16,16,16,2,16,16,16,16,16,16,16,16,16,16,16,7,16,16,16,16,7
7,16,16,16,16,7,16,16,16,16,16,16,16,16,16,16,16,16,2,16,16,16,16,16,16,16,16,16,16,16,7,16,16,16,16,7
7,16,16,16,16,7,16,16,16,16,16,16,16,16,16,16,16,16,2,16,16,16,16,16,16,16,16,16,16,16,7,2,16,16,16,7
7,16,16,16,16,7,16,0,16,16,2,16,16,16,16,16,16,16,2,16,16,16,16,2,16,16,16,16,16,16,7,2,16,16,16,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
